Title,Authors,Journal,Year,Volume,Issue,Pages,DOI,Abstract,Keywords
IMPACT of the atomic energy industry on community health,,A.M.A. archives of industrial health,1956,13,5,"425-61; discussion, 461-7",,,"Humans. *Industry. *Nuclear Energy. *Public Health; oldmedline; atomic energy; public health; Business & Economics; Energy & Fuels; Public, Environmental & Occupational Health (provided by Clarivate Analytics)"
Health Care Financing Administration--Medicare program; recodification of Medicare regulations. Notice of decision to recodify regulations,,Fed Regist,1980,45,63 Pt 1,20985,,"HCFA proposes to reorganize and rewrite existing regulations for the Medicare program (title XVIII of the Social Security Act). The regulations currently located in 42 CFR Part 405 would be reorganized, simplified, and renumbered to make them easier to use, as part of the Department's Operation Common Sense Project. This recodification has been classified as technical. A regualtory analysis is not planned.","Classification; Insurance, Health/*legislation & jurisprudence; Insurance, Health, Reimbursement/*legislation & jurisprudence; Medicare/*organization & administration; United States"
Sidaway v. Bethlem Royal Hospital,,All Engl Law Rep,1984,[1984] 1,,1018-36,,"England's appellate court upheld a ruling that a surgeon who had performed an operation resulting in severe spinal cord damage, without having advised the patient of the risk of such an occurrence, was not liable. The physician's duty of care is discharged by revealing enough information to enable the patient to make a rational decision, with the extent of disclosure to be based on accepted medical practice. The judges rejected, as not in accord with English law, the American doctrine of informed consent based on the patient's right to disclosure of all material risks of significance to a ""prudent patient.""eng","England; *General Surgery; Humans; *Informed Consent; *Jurisprudence; *Liability, Legal; *Physicians; Reference Standards; Risk; Risk Assessment; *Truth Disclosure; United Kingdom; Legal Approach; Professional Patient Relationship; *Sidaway v. Bethlem Royal Hospital"
"Attorney General (Society for the Protection of Unborn Children) v. Open Door Counselling, 27 April 1987",,Annu Rev Popul Law,1987,14,,37-8,,"The plaintiff/relator, the Society for the Protection of Unborn Children, applied for costs against the defendants for its part in a case in which the defendants were ordered to cease counseling women that they could go to England to obtain an abortion. In the earlier case the Court had not decided the issue whether the plaintiff/relator had standing to bring the case since the Attorney General had taken over prosecution of the case. Here the Court ruled that the plaintiff did have standing and that as an organization established to defend the right to life of the unborn there was a substantial controversy between the Society and the defendants. Nonetheless, the Court did not award costs to the Society.","*Abortion, Induced; Ambulatory Care Facilities; *Counseling; Developed Countries; Europe; Family Planning Services; Health Planning; Ireland; *Jurisprudence; Organization and Administration; Politics; Public Opinion; *Abortion, Induced--legal aspects; *Anti-abortion Groups--legal aspects; Clinic Activities; *Counseling--legal aspects; *Court Decision; Family Planning; Fertility Control, Postconception; Interest Groups; Northern Europe; Political Factors; Program Activities; Programs"
"Pickstone v. Freemans plc, 25 March 1987",,Annu Rev Popul Law,1987,14,,149-50,,"The applicants, female warehouse operatives for the defendant, challenged the defendant's policy of paying warehouse checkers more than they were being paid. They claimed that both groups were engaged in work of equal value and should be given equal pay. The case was dismissed by a lower court because the defendant employed men in both positions at the same pay as women in those positions and the Equal Pay Act 1970 prohibited suits in such circumstances. The Court of Appeal reversed this decision, holding that Article 119 of the EEC Treaty authorized the suit and overrode conflicting national legislation. It remanded the case for determination whether the pay differential between the two jobs was due to reasons other than sex discrimination.",Developed Countries; Economics; *Employment; Europe; Health Workforce; *Jurisprudence; *Prejudice; *Salaries and Fringe Benefits; Social Class; Social Problems; Socioeconomic Factors; United Kingdom; *Court Decision; Economic Factors; Human Resources; *Labor Force--legal aspects; *Labor Force--women; Northern Europe; *Pay Equity--legal aspects; *Sex Discrimination--legal aspects; Social Discrimination; Socioeconomic Status; *United Kingdom
"Judgment, 13 May 1987",,Annu Rev Popul Law,1987,14,,36,,The Court reversed a lower court decision and held that an employer is required to pay wages to an employee who is on sick leave in order to have an abortion performed for social reasons. It rejected a distinction made by the lower court between abortions performed on eugenic grounds or because of rape and those performed for social reasons. It concluded that legislative history shows that both kinds of abortions were meant to be treated in the same way.,"*Abortion, Induced; Developed Countries; Economics; *Employment; Europe; Family Planning Services; Germany, West; Health Workforce; *Jurisprudence; *Salaries and Fringe Benefits; *Abortion, Induced--legal aspects; *Court Decision; Economic Factors; Family Planning; Fertility Control, Postconception; *Germany, Federal Republic Of; Human Resources; *Labor Force--legal aspects; Macroeconomic Factors; *Wages--legal aspects; Western Europe"
Re B (A Minor) (Wardship: Sterilisation),,All Engl Law Rep,1987,[1987]2,,206-19,,"Britain's House of Lords affirmed on appeal a lower court decision authorizing sterilization of a mentally retarded and epileptic 17-year-old girl. The court held that sterilization was for her welfare and in her best interests because she had no understanding of the connection between sexual intercourse and pregnancy, and because she was deemed unable to cope with birth or to raise a child. There was evidence that she could not be placed on a regimen of contraceptive drugs because she lacked the mental capacity to cooperate and because these drugs could react with the medication administered to control her mental instability and epilepsy. The girl's mother supported the procedure.eng","*Adolescent; Contraception; Female; Humans; Judicial Role; *Jurisprudence; *Minors; Parental Consent; Paternalism; *Persons with Intellectual Disabilities; Risk; Risk Assessment; *Sterilization, Reproductive; Third-Party Consent; United Kingdom; Women; Genetics and Reproduction; Legal Approach; Mental Health Therapies; *Re B (A Minor) (Wardship: Sterilisation)"
"DKT Memorial Fund v. Agency for International Development, 13 February 1987",,Annu Rev Popul Law,1987,14,,42-3,,"The plaintiffs, domestic and foreign nongovernmental organizations, challenged the lawfulness of the Agency for International Development's implementation of Government policy not to contribute funds to foreign nongovernmental organizations that perform or actively promote abortion as a method of family planning abroad. The Court reversed a lower court decision and held that the plaintiffs had standing to bring their suit. It ruled that the plaintiffs were not attempting to litigate a political question since they did not seek to litigate the political and social wisdom of the policy, but only its legality. It also allowed the plaintiffs to amend their complaint to state that, but for the policy, they would be qualified to receive funds. In a similar case, the United States District Court, S.D. New York, held that AID was acting within its statutory and administrative authority in withholding federal assistance to organizations that perform or actively promote abortions as a method of family planning and that the plaintiffs' constitutional challenge of this policy presented a nonjusticiable political question (Planned Parenthood Federation of America, Inc. vs. Agency for International Development, 29 September 1987, [670 F.Supp. 538]).","*Abortion, Induced; Americas; Developed Countries; Economics; *Family Planning Services; Financial Management; *Government Agencies; *International Cooperation; *Jurisprudence; North America; *Organizations; United States; *Abortion, Induced--legal aspects; *Court Decision; Economic Factors; *Family Planning--legal aspects; Fertility Control, Postconception; Financial Activities; *Foreign Aid--legal aspects; Government Agencies; *Nongovernmental Organizations; Northern America; Organizations; *Usaid"
"Judgment, 25 February 1986",,Annu Rev Popul Law,1987,14,,32,,"The plaintiff, despite using contraceptives, became pregnant. She sought social insurance reimbursement for the costs of an abortion, which she had undergone because she did not want to have a child. The Court upheld the decision of a lower court denying reimbursement. It ruled that pregnancy is not an illness, unless the pregnancy presents for the woman a danger to life or health beyond that involved in normal pregnancies. It reasoned that since the pregnancy presented no such danger and the abortion had not been performed in order to protect the life or health of the plaintiff, the costs of the abortion were not eligible for reimbursement through social insurance, which by law could be used only to cover costs related to illness.","*Abortion, Induced; Austria; *Contraception; Contraception Behavior; Demography; Developed Countries; Economics; Europe; Family Planning Services; Fertility; Financial Management; *Insurance, Health; *Jurisprudence; Population; Population Dynamics; *Pregnancy, Unwanted; Sexual Behavior; *Abortion, Induced--legal aspects; Contraception; *Contraception Failure--legal aspects; Contraceptive Usage; *Court Decision; Demographic Factors; Economic Factors; Family Planning; Fertility Control, Postconception; Financial Activities; *Health Insurance--legal aspects; *Pregnancy, Unwanted--legal aspects; Reproductive Behavior; Western Europe"
"Reproductive Health Services v. Webster, 17 March 1987, amended on 30 April 1987",,Annu Rev Popul Law,1987,14,,43-4,,"The plaintiff physicians and organizations providing abortion-related services challenged the constitutionality of provisions of a Missouri statute that a) state that life begins at conception and that unborn children have a protectable interest in life, health, and well being; b) require a physician to inform a woman seeking an abortion of certain facts; c) require all post sixteen-week abortions to be performed in a hospital; d) require certain tests to be performed in order to determine gestational age and viability; and e) prohibit the use of public funds, public employees, and public facilities for performing or assisting an abortion or encouraging or counseling an abortion except to save a woman's life. The Court ruled that all of these provisions were unconstitutional and in conflict with its previous rulings on a woman's right to obtain an abortion. In a related case the United States District Court, E.D. Missouri, E.D., held that the plaintiff physicians could not attack a statement of intent of the same law, which provides that ""It is the intention of the general assembly of the state of Missouri to grant the right to life to all humans, born and unborn, and to regulate abortion to the full extent permitted by the Constitution of the United States, decisions of the United States Supreme Court, and federal statutes."" See Women's Health Ctr. of West Cty. v. Webster, 24 September 1987, 670 F.Supp. 845.","*Abortion, Induced; Americas; Developed Countries; Economics; Family Planning Services; *Fetus; Financial Management; *Financing, Government; *Human Rights; *Individuality; *Informed Consent; *Legislation as Topic; Missouri; North America; Pregnancy; Reproduction; Research; *Research Design; United States; *Abortion Law; *Abortion, Induced--legal aspects; Economic Factors; Family Planning; Fertility Control, Postconception; *Fetus--legal aspects; Financial Activities; *Financing, Government--legal aspects; *Human Rights--legal aspects; *Informed Consent--legal aspects; Measurement; Northern America; *Personhood--legal aspects; Research Methodology; *Testing--legal aspects"
