Title,Authors,Journal,Year,Volume,Issue,Pages,DOI,Abstract,Keywords
Coupling geographic information system integrated fuzzy logic-analytical hierarchy process with global and machine learning based sensitivity analysis for agricultural suitability mapping,"Talukdar, S.; Naikoo, M. W.; Mallick, J.; Praveen, B.; Shahfahad,; Sharma, P.; Islam, A. M. T.; Pal, S.; Rahman, A.",Agricultural Systems,2022,196,,15,10.1016/j.agsy.2021.103343,"CONTEXT: India's increasing population growth and unsystematic land cover transformation have led to land degradation and a decline in agricultural production. To achieve optimum advantage from the land, proper exploitation of its resources is necessary. Remote sensing, advanced fuzzy logic, and multi-criteria decision making like analytical hierarchy process (AHP) integrated agricultural land suitability analysis (ALAS) may facilitate identifying and formulating effective agricultural management strategies required for smart agriculture. OBJECTIVES: The present study was conducted to construct India's robust agricultural suitability model by developing hybrid fuzzy logic and the AHP based model. METHODS: Fourteen topographical, climatological, soil-related, land-use, and land-cover-related factors were prepared and employed to model agricultural suitability. Agricultural suitability models predicted multi parameters based agricultural suitable zones for the entire country using three fuzzy operators (AND, Gamma 0.8, Gamma 0.9) and a hybrid fuzzy-AHP model. Sensitivity analysis was conducted to test the models' reliability using Moris technique-based global sensitivity analysis, random forest (RF), and correlation coefficient. The best agricultural suitable model was compared with the production of major crops in India. RESULTS AND CONCLUSIONS: Results showed that 19.8% of the study area was permanently not suitable in the northernmost region, 19.7% was currently not suitable in the northernmost region, while 20.1% and 20.2% areas were predicted as moderately suitable and highly suitable zones, respectively. The rainfall, elevation, slopes, evapotranspiration, and aridity index had a prime influence on the output of the agricultural suitability model. SIGNIFICANCE: The adopted method and its application processes can analyze agricultural land suitability and recommend optimal farming methods. It is also comprehended as a promising option for meeting food, nutrition, energy, and job demands while still protecting our threatened environment.",Agricultural suitability model; Fuzzy logic; Analytical hierarchy; process; Remote sensing; Sensitivity analysis; Machine learning; algorithms; multicriteria decision-analysis; land suitability; climate-change; topsis methods; gis; ahp; model; productivity; cultivation; allocation; Agriculture
Prognostic factors and risk groups in T1G3 non-muscle-invasive bladder cancer patients initially treated with Bacillus Calmette-Guérin: results of a retrospective multicenter study of 2451 patients,"Gontero, P.; Sylvester, R.; Pisano, F.; Joniau, S.; Vander Eeckt, K.; Serretta, V.; Larré, S.; Di Stasi, S.; Van Rhijn, B.; Witjes, A. J.; Grotenhuis, A. J.; Kiemeney, L. A.; Colombo, R.; Briganti, A.; Babjuk, M.; Malmström, P. U.; Oderda, M.; Irani, J.; Malats, N.; Baniel, J.; Mano, R.; Cai, T.; Cha, E. K.; Ardelt, P.; Varkarakis, J.; Bartoletti, R.; Spahn, M.; Johansson, R.; Frea, B.; Soukup, V.; Xylinas, E.; Dalbagni, G.; Karnes, R. J.; Shariat, S. F.; Palou, J.",Eur Urol,2015,67,1,74-82,10.1016/j.eururo.2014.06.040,"BACKGROUND: The impact of prognostic factors in T1G3 non-muscle-invasive bladder cancer (BCa) patients is critical for proper treatment decision making. OBJECTIVE: To assess prognostic factors in patients who received bacillus Calmette-Guérin (BCG) as initial intravesical treatment of T1G3 tumors and to identify a subgroup of high-risk patients who should be considered for more aggressive treatment. DESIGN, SETTING, AND PARTICIPANTS: Individual patient data were collected for 2451 T1G3 patients from 23 centers who received BCG between 1990 and 2011. OUTCOME MEASUREMENTS AND STATISTICAL ANALYSIS: Using Cox multivariable regression, the prognostic importance of several clinical variables was assessed for time to recurrence, progression, BCa-specific survival, and overall survival (OS). RESULTS AND LIMITATIONS: With a median follow-up of 5.2 yr, 465 patients (19%) progressed, 509 (21%) underwent cystectomy, and 221 (9%) died because of BCa. In multivariable analyses, the most important prognostic factors for progression were age, tumor size, and concomitant carcinoma in situ (CIS); the most important prognostic factors for BCa-specific survival and OS were age and tumor size. Patients were divided into four risk groups for progression according to the number of adverse factors among age ≥ 70 yr, size ≥ 3 cm, and presence of CIS. Progression rates at 10 yr ranged from 17% to 52%. BCa-specific death rates at 10 yr were 32% in patients ≥ 70 yr with tumor size ≥ 3 cm and 13% otherwise. CONCLUSIONS: T1G3 patients ≥ 70 yr with tumors ≥ 3 cm and concomitant CIS should be treated more aggressively because of the high risk of progression. PATIENT SUMMARY: Although the majority of T1G3 patients can be safely treated with intravesical bacillus Calmette-Guérin, there is a subgroup of T1G3 patients with age ≥ 70 yr, tumor size ≥ 3 cm, and concomitant CIS who have a high risk of progression and thus require aggressive treatment.","Adjuvants, Immunologic/*therapeutic use; Age Factors; Aged; BCG Vaccine/*therapeutic use; Carcinoma in Situ/*complications; Cystectomy; Disease Progression; Female; Follow-Up Studies; Humans; Male; Middle Aged; Neoplasm Recurrence, Local/*pathology/surgery; Prognosis; Retrospective Studies; Risk Assessment; Risk Factors; Survival Rate; Tumor Burden; Urinary Bladder Neoplasms/*drug therapy/*pathology/surgery; Bcg; Bacillus Calmette-Guérin; Non–muscle-invasive bladder cancer; Prognostic factors; T1g3"
"A persistent 'can't intubate, can't oxygenate' crisis despite rocuronium reversal with sugammadex","Kyle, B. C.; Gaylard, D.; Riley, R. H.",Anaesth Intensive Care,2012,40,2,344-6,10.1177/0310057x1204000220,"A 'can't intubate, can't oxygenate' airway crisis is a rare event which most anaesthetists will never experience during their career(1,2). This report highlights the outcome of time-critical decisions in a potential airway catastrophe. Rocuronium was used as an alternative muscle relaxant for rapid sequence induction. The use of sugammadex in 'can't intubate, can't oxygenate' crises is discussed and highlights how, despite adequate reversal of neuromuscular blockade, the 'can't intubate, can't oxygenate' situation failed to resolve. An asymptomatic vallecular cyst was the causal factor in this scenario. Anaesthetic issues surrounding this pathology are discussed.","Adult; Airway Management/*methods; Airway Obstruction/*complications/surgery; Androstanols/*antagonists & inhibitors; Anesthesia, General/*adverse effects; Cholecystectomy, Laparoscopic; Cysts/*complications/surgery; Female; Humans; *Intubation, Intratracheal; Laryngeal Diseases/*complications/surgery; Neuromuscular Nondepolarizing Agents/*antagonists & inhibitors; Oxygen/*therapeutic use; Rocuronium; Sugammadex; gamma-Cyclodextrins/*therapeutic use"
Costs and outcomes in evaluating management of unhealed surgical wounds in the community in clinical practice in the UK: a cohort study,"Guest, J. F.; Fuller, G. W.; Vowden, P.",BMJ Open,2018,8,12,e022591,10.1136/bmjopen-2018-022591,"OBJECTIVE: To evaluate the patient pathways and associated health outcomes, resource use and corresponding costs attributable to managing unhealed surgical wounds in clinical practice, from initial presentation in the community in the UK. METHODS: This was a retrospective cohort analysis of the records of 707 patients in The Health Improvement Network (THIN) database whose wound failed to heal within 4 weeks of their surgery. Patients' characteristics, wound-related health outcomes and healthcare resource use were quantified, and the total National Health Service (NHS) cost of patient management was estimated at 2015/2016 prices. RESULTS: Inconsistent terminology was used in describing the wounds. 83% of all wounds healed within 12 months from onset of community management, ranging from 86% to 74% of wounds arising from planned and emergency procedures, respectively. Mean time to healing was 4 months per patient. Patients were predominantly managed in the community by nurses and only around a half of all patients who still had a wound at 3 months were recorded as having had a follow-up visit with their surgeon. Up to 68% of all wounds may have been clinically infected at the time of presentation, and 23% of patients subsequently developed a putative wound infection a mean 4 months after initial presentation. Mean NHS cost of wound care over 12 months was £7300 per wound, ranging from £6000 to £13 700 per healed and unhealed wound, respectively. Additionally, the mean NHS cost of managing a wound without any evidence of infection was ~£2000 and the conflated cost of managing a wound with a putative infection ranged from £5000 to £11 200. CONCLUSION: Surgeons are unlikely to be fully aware of the problems surrounding unhealed surgical wounds once patients are discharged into the community, due to inconsistent recording in patients' records coupled with the low rate of follow-up appointments. These findings offer the best evidence available with which to inform policy and budgetary decisions pertaining to managing unhealed surgical wounds in the community.",Cohort Studies; Community Health Services/*economics; Costs and Cost Analysis; Health Resources/economics; Humans; Postoperative Complications/*economics/therapy; Retreatment/economics; Retrospective Studies; Surgical Wound/*economics/therapy; Surgical Wound Infection/economics/therapy; Treatment Outcome; United Kingdom; Utilization Review; *Wound Healing; burden; cost; surgery; surgical wounds; wound management
The Case for Integrated Advanced Technology in Applied Behavior Analysis,"Neely, L.; Carnett, A.; Quarles, J.; MacNaul, H.; Park, S. W.; Oyama, S.; Chen, G. Q.; Desai, K.; Najafirad, P.",Advances in Neurodevelopmental Disorders,2023,7,3,415-425,10.1007/s41252-022-00309-y,"Most people rely on technology in their everyday lives to navigate responsibilities to family, community, friends, and employers. The aim of this paper is to overview recent technological innovations (e.g., augmentative and virtual reality, wearable devices, and artificial intelligence) that have potential to improve efficiency and effectiveness of applied behavior analysis services for clients, practitioners, and society. We recommend that behavior analysts leverage these technologies to promote positive and ethical change that improves their lives, the lives of their clients, and the wider community. © 2022, The Author(s), under exclusive licence to Springer Nature Switzerland AG.",Applied behavior analysis; Artificial intelligence; Augmented and virtual reality; Internet of things
Choosing between the modified Ravitch and Nuss procedures for pectus excavatum: Considering the patients's perspective,"Elsayed, H. H.; Hassaballa, A. S.; Abdel Hady, S. M.; Elbastawisy, S. E.; Ahmed, T. A.",Ann R Coll Surg Engl,2016,98,8,581-585,10.1308/rcsann.2016.0254,"INTRODUCTION Pectus excavatum (PE) is the most common paediatric chest wall deformity. The majority of patients are treated for cosmetic purposes, with the modified Ravitch and Nuss procedures the most commonly performed. We tested the preferences of healthy individuals over their choice of procedure. METHODS The study was conducted from February to August 2014. A five-item illustrated questionnaire was administered to teenagers and young adults aged 14-26 years over their willingness to seek medical advice if they had PE, provided its cosmetic appearance was the only complaint. They were asked about their preference over the modified Ravitch and Nuss procedures, with the surgical details for both procedures explained by medical professionals, alongside illustrated outcomes. RESULTS Two hundred and two healthy individuals were interviewed. The median age was 19.5 years (14-26 years) and 141 (69.8%) were male. Sixty seven (33.2%) participants refused any intervention, while 11 (5.4%) initially wanted an intervention but refused after understanding the surgical procedures available. Of the 135 respondents who chose surgical correction, 84 (62.2%) preferred the modified Ravitch operation, while 51 (37.8%) preferred the Nuss procedure. The main reason for choosing the modified Ravitch technique was not having something metal in the chest, while most participants who chose the Nuss procedure felt that it was ""cosmetically better"". CONCLUSIONS Patients have preferences over the choice of procedure for PE repair that can affect the treatment decision. Paediatric and thoracic surgeons should therefore be experienced in performing both procedures.",Adolescent; Adult; Cross-Sectional Studies; Esthetics; Female; Funnel Chest/*surgery; Humans; Male; *Patient Preference; Surveys and Questionnaires; *Thoracic Surgical Procedures/methods/psychology; Young Adult; Choice behaviour; Pectus; Thoracic wall
Intrapartum and postpartum care in Sweden: women's opinions and risk factors for not being satisfied,"Waldenström, U.; Rudman, A.; Hildingsson, I.",Acta Obstet Gynecol Scand,2006,85,5,551-60,10.1080/00016340500345378,"BACKGROUND: The aim of this study was to investigate satisfaction with intrapartum and postpartum care, and the risk of not being satisfied in relation to 1) a woman's sociodemographic background, 2) physical and emotional well-being in early pregnancy, 3) labor outcomes, 4) care organization, and 5) a woman's subjective assessment of aspects of care. METHODS: All Swedish-speaking women booked for antenatal care during 3 weeks spread over 1 year (1999-2000) were invited to participate in the study, and 2,686 (82% of those who consented to participate and 58% of those who were eligible) completed questionnaires in early pregnancy and 2 months postpartum. Women who were satisfied with overall intrapartum and postpartum care respectively were compared with those who were not regarding possible risk factors, and associations were tested by logistic regression analysis. RESULTS: Ten percent of women were not satisfied with intrapartum care (ip) and 26% with postpartum care (pp). The following risk factors for not being satisfied were found: 1) age <25 years (ip), only elementary school (ip + pp), single status (pp), inconvenient timing of pregnancy (ip), lack of support from partner (ip); 2) suffering from many physical symptoms (ip + pp); 3) newborn transfer to neonatal clinic (ip + pp); 4) length of stay <1 day and > or =5 days (ip + pp), no ""debriefing"" after birth (ip), large hospital (pp); 5) lack of support by midwife (ip), little involvement in decision making (ip), dissatisfaction with birth environment (ip), insufficient time for breastfeeding support, encouragement and personal questions (pp).","Adult; Delivery, Obstetric; Emotions; Female; Health Facility Size; Hospital Units/organization & administration; Humans; Labor, Obstetric; Length of Stay; Mothers/*psychology; Patient Participation; *Patient Satisfaction; Postnatal Care/psychology/*standards; Pregnancy; Prenatal Care/*standards; Risk Factors; Social Support; Socioeconomic Factors; Sweden"
The evaluation of the surgical management of nerve root compression in patients with low back pain: Part 2: patient expectations and satisfaction,"McGregor, A. H.; Hughes, S. P.",Spine (Phila Pa 1976),2002,27,13,1471-6; discussion 1476-7,10.1097/00007632-200207010-00019,"STUDY DESIGN: This was a prospective study investigating patient expectations of and satisfaction with the outcome of decompression surgery. OBJECTIVES: To investigate patient expectations of surgery and short- and long-term satisfaction with the outcome of decompression surgery in terms of pain, function, disability, and general health. SUMMARY OF BACKGROUND DATA: Information is scarce regarding patient-rated expectations of surgery and measures of satisfaction with surgery in terms of specific outcome measures such as pain. METHODS: Eighty-four patients undergoing spinal stenosis surgery were recruited into this study. Before surgery, patients were also asked to rate their expectations in terms of improvement in pain, general health, function, and other such characteristics. In addition, at each postoperative review stage, patients were asked to rate their satisfaction with their improvement in these key outcome measures. RESULTS: The results demonstrated that patients had very high expectations of recovery, particularly in terms of pain and function, and that patients were confident of achieving this recovery (76.8%). Levels of satisfaction, however, varied considerably: 41% of patients were 50% satisfied with the outcome, and 30% were dissatisfied. Most patients felt that they had made the right decision to have surgery, although the surgery had achieved only 43.4% +/- 37.8 of the outcome they had expected. CONCLUSIONS: Examination of patients' expectations of and satisfaction with surgery revealed that patients frequently had unrealistic expectations of their surgery and as a consequence tended to have lower levels of satisfaction.","*Decompression, Surgical/adverse effects; Female; Follow-Up Studies; Humans; *Low Back Pain/etiology; Male; Middle Aged; *Outcome Assessment, Health Care; Pain Measurement; Patient Satisfaction/*statistics & numerical data; Prospective Studies; Radiculopathy/complications/*surgery; Reoperation; United Kingdom"
"Supratentorial pilocytic astrocytomas. A clinicopathologic, prognostic, and flow cytometric study of 51 patients","Forsyth, P. A.; Shaw, E. G.; Scheithauer, B. W.; O'Fallon, J. R.; Layton, D. D., Jr.; Katzmann, J. A.",Cancer,1993,72,4,1335-42,10.1002/1097-0142(19930815)72:4<1335::aid-cncr2820720431>3.0.co;2-e,"BACKGROUND: Supratentorial pilocytic astrocytomas are uncommon tumors, the prognosis and management of which have been controversial. METHODS: The authors retrospectively studied the clinical and pathologic aspects of 51 patients with supratentorial pilocytic astrocytomas, with particular reference to their response to treatment. RESULTS: The study group consisted of 25 male and 26 female patients (median age, 15 years). The extent of surgical removal was gross total or radical subtotal in 16 patients and subtotal removal or biopsy in 35. At a median follow-up of 14.9 years, 41 patients were alive. Overall survival was 82% at 10 and 20 years; 89% of surviving patients were fully active. Survival at 10 years was 100% for the 16 patients who underwent gross total or radical subtotal removal and 74% for the 35 who had subtotal tumor removal or biopsy. No association was found between pathologic features such as histologic grade or flow cytometric characteristics and patient survival. CONCLUSIONS: Supratentorial pilocytic astrocytomas behave differently from low-grade astrocytomas of the diffuse or fibrillary type in that they have a favorable prognosis. Radiation therapy appears not to be needed for patients undergoing gross total removal. In patients undergoing subtotal resection, close follow-up with additional surgery or radiation therapy at the time of tumor progression is recommended. Patients who have biopsy only should receive radiation therapy. Histologic grading and flow cytometric analysis add little to clinical decision making with regard to patients with pilocytic astrocytoma.","Adolescent; Adult; Aged; Astrocytoma/genetics/mortality/*pathology/therapy; Basal Ganglia; Brain Neoplasms/genetics/mortality/*pathology/therapy; Child; Child, Preschool; Female; Flow Cytometry; Follow-Up Studies; Humans; Infant; Male; Middle Aged; Neoplasm Recurrence, Local; Prognosis; Radiotherapy Dosage; Retrospective Studies; Survival Analysis; Temporal Lobe; Thalamus"
Optical coherence tomography guidance for the management of angiographically intermediate left main bifurcation lesions: Early clinical experience,"Dato, I.; Burzotta, F.; Trani, C.; Romano, A.; Paraggio, L.; Aurigemma, C.; Porto, I.; Leone, A. M.; Niccoli, G.; Crea, F.",Int J Cardiol,2017,248,,108-113,10.1016/j.ijcard.2017.06.125,"BACKGROUND: Left main (LM) atherosclerotic lesions affect clinical outcomes. Frequency domain-optical coherence tomography (FD-OCT) allows detailed characterization of non-ostial coronary atherosclerotic lesions. The clinical impact of FD-OCT assessment of LM bifurcation disease on the revascularization decision is unknown. METHODS: Patients who underwent FD-OCT assessment to guide management of angiographically intermediate distal LM stenosis were retrospectively selected. The FD-OCT LM criteria for percutaneous or surgical revascularization were: Clinical follow-up was obtained to evaluate the occurrence of target vessel failure (TVF) defined as cardiac death and/or acute myocardial infarction (AMI) not related to other vessel and/or target vessel revascularization. RESULTS: Out of 131 patients underwent FD-OCT assessment of LM, 122 patients (93%) entered the study. Based on FD-OCT features, 58 (48%) patients were conservatively managed, while the remaining 64 (52%) were revascularized by stenting (n=48) or surgery (n=16). After a mean follow-up of 18months, TVF-free survival was not different between patients undergoing conservative management vs. revascularization (HR 0.40, CI 95% 0.10-1.61, P=0.20). Of note, two patients only in the conservative management group had TVF (elective LM stenting, no death or myocardial infarction). CONCLUSIONS: This preliminary experience suggests that a FD-OCT based management for patients with angiographically-intermediate LM bifurcation stenosis may help identify patients in whom revascularization could be deferred. Such observation calls for further evaluations by appropriately designed trials.","Aged; Aged, 80 and over; Coronary Angiography/*methods; Coronary Artery Disease/*diagnostic imaging/*surgery; Disease Management; Female; Follow-Up Studies; Humans; Male; Middle Aged; Monitoring, Intraoperative/*methods; Percutaneous Coronary Intervention/*methods; Retrospective Studies; Tomography, Optical Coherence/*methods; Treatment Outcome; Distal left main; Frequency domain optical coherence tomography; Outcome"
