Title,Authors,Journal,Year,Volume,Issue,Pages,DOI,Abstract,Keywords
Artificial Intelligence and Clinical Decision Making: The New Nature of Medical Uncertainty,"Harish, V.; Morgado, F.; Stern, A. D.; Das, S.",Acad Med,2021,96,1,31-36,10.1097/acm.0000000000003707,"Estimates in a 1989 study indicated that physicians in the United States were unable to reach a diagnosis that accounted for their patient's symptoms in up to 90% of outpatient patient encounters. Many proponents of artificial intelligence (AI) see the current process of moving from clinical data gathering to medical diagnosis as being limited by human analytic capability and expect AI to be a valuable tool to refine this process. The use of AI fundamentally calls into question the extent to which uncertainty in medical decision making is tolerated. Uncertainty is perceived by some as fundamentally undesirable and thus, for them, optimal decision making should be based on minimizing uncertainty. However, uncertainty cannot be reduced to zero; thus, relative uncertainty can be used as a metric to weigh the likelihood of various diagnoses being correct and the appropriateness of treatments. Here, the authors make the argument, using as examples the experiences of 2 AI systems, IBM Watson on Jeopardy and Watson for Oncology, that medical decision making based on relative uncertainty provides a better lens for understanding the application of AI to medicine than one that minimizes uncertainty. This approach to uncertainty has significant implications for how health care leaders consider the benefits and trade-offs of AI-assisted and AI-driven decision tools and ultimately integrate AI into medical practice.","Adult; Artificial Intelligence/*standards; Attitude to Computers; Clinical Decision-Making/*methods; *Decision Making, Computer-Assisted; Diagnosis, Computer-Assisted/*methods/*psychology; Female; Humans; Male; Middle Aged; Physicians/*psychology; *Uncertainty; United States"
WHEN AND HOW ARTIFICIAL INTELLIGENCE AUGMENTS EMPLOYEE CREATIVITY,"Jia, N.; Luo, X. M.; Fang, Z.; Liao, C. C.",Academy of Management Journal,2024,67,1,5-32,10.5465/amj.2022.0426,"Can artificial intelligence (AI) assist human employees in increasing employee creativity? Drawing on research on AI-human collaboration, job design, and employee creativity, we examine AI assistance in the form of a sequential division of labor within organizations: in a task, AI handles the initial portion, which is well-codified and repetitive, and employees focus on the subsequent portion, involving higher-level problem-solving. First, we provide causal evidence from a field experiment conducted at a telemarketing company. We find that AI assistance in generating sales leads, on average, increases employees' creativity in answering customers' questions during subsequent sales persuasion. Enhanced creativity leads to increased sales. However, this effect is much more pronounced for higher-skilled employees. Next, we conducted a qualitative study using semi-structured interviews with the employees. We found that AI assistance changes job design by intensifying employees' interactions with more serious customers. This change enables higher-skilled employees to generate innovative scripts and develop positive emotions at work, which are conducive to creativity. By contrast, with AI assistance, lower-skilled employees make limited improvements to scripts and experience negative emotions at work. We conclude that employees can achieve AI-augmented creativity, but this desirable outcome is skill-biased by favoring experts with greater job skills.",job complexity; decision-making; work; machine; time; ai; information; motivation; management; framework; Business & Economics
SUBSTITUTING HUMAN DECISION-MAKING WITH MACHINE LEARNING: IMPLICATIONS FOR ORGANIZATIONAL LEARNING,"Balasubramanian, N.; Ye, Y.; Xu, M. T.",Academy of Management Review,2022,47,3,448-465,10.5465/amr.2019.0470,"The richness of organizational learning relies on the ability of humans to develop diverse patterns of action by actively engaging with their environments and applying substantive rationality. The substitution of human decision-making with machine learning has the potential to alter this richness of organizational learning. Though machine learning is significantly faster and seemingly unconstrained by human cognitive limitations and inflexibility, it is not true sentient learning and relies on formal statistical analysis for decision-making. We propose that the distinct differences between human learning and machine learning risk decreasing the within-organizational diversity in organizational routines and the extent of causal, contextual, and general knowledge associated with routines. We theorize that these changes may affect organizational learning by exacerbating the myopia of learning, and highlight some important contingencies that may mute or amplify the risk of such myopia.",routines; environment; uncertainty; information; patterns; firm; Business & Economics
SafetyCube: Framework for potential pedestrian risk analysis using multi-dimensional OLAP,"Noh, B.; Yeo, H.",Accid Anal Prev,2021,155,,106104,10.1016/j.aap.2021.106104,"In the past decade, the number of road traffic accidents and fatalities has remained about the same level. One of strategies to protect vulnerable road users (VRUs) is to analyze the factors that cause traffic accident and then to deploy safety facilities. However, most traffic safety systems currently in operation rely on historical data, which is post-facto approach. Thus, it is necessary to prevent accident in advance and to respond in proactive manner before the accident. In this study, we propose a framework for potential pedestrian risk analysis using a multi-dimensional on-line analytical processing (OLAP), called SafetyCube, which enables decision-makers to understand the situations by scrutinizing interactive behaviors between vehicle and pedestrian. First, we collect the behavioral features of traffic-related objects (e.g., vehicles and pedestrians) extracted from closed circuit televisions (CCTVs) deployed on crosswalks throughout the overall urban, and accumulate them in a data warehouse over an extended period in order to construct a data cube model. Then, we conduct comprehensive analyses in multi-dimensional perspective using OLAP operations by varying the abstraction levels. Our analytical experiments are based on three scenarios, and the results show that the vehicle's movement patterns before entering the crosswalk, patterns of changes in speed of vehicles approaching to pedestrians, and so on. Through these results from the proposed analytical system, decision-makers can gain a better understanding of how the vehicles and pedestrians behave near the crosswalk by visualizing their interactions. Further, these insights would be reflected to improve the road environment safer. In order to validate the feasibility and applicability of the proposed system, we apply it to various crosswalks in Osan city, South Korea.","Accidents, Traffic/prevention & control; Humans; *Pedestrians; Republic of Korea; Risk Assessment; Safety; Walking; Data cube model; Intelligent transportation system; Multi-dimensional analysis; OLAP operations; Pedestrian safety; Potential traffic risk"
The effect of information from dash-based human-machine interfaces on drivers' gaze patterns and lane-change manoeuvres after conditionally automated driving,"Goncalves, R. C.; Louw, T. L.; Madigan, R.; Quaresma, M.; Romano, R.; Merat, N.",Accident Analysis and Prevention,2022,174,,12,10.1016/j.aap.2022.106726,"The goal of this paper was to measure the effect of Human-Machine Interface (HMI) information and guidance on drivers' gaze and takeover behaviour during transitions of control from automation. The motivation for this study came from a gap in the literature, where previous research reports improved performance of drivers' takeover based on HMI information, without considering its effect on drivers' visual attention distribution, and how drivers also use the information available in the environment to guide their response. This driving simulator study investigated drivers' lane-changing behaviour after resumption of control from automation. Different levels of information were provided on a dash-based HMI, prior to each lane change, to investigate how drivers distribute their attention between the surrounding environment and the HMI. The difficulty of the lane change was also manipulated by controlling the position of approaching vehicles in drivers' offside lane. Results indi-cated that drivers' decision-making time was sensitive to the presence of nearby vehicles in the offside lane, but not directly influenced by the information on the HMI. In terms of gaze behaviour, the closer the position of vehicles in the offside lane, the longer drivers looked in that direction. Drivers looked more at the HMI, and less towards the road centre, when the HMI presented information about automation status, and included an advisory message indicating it was safe to change lane. Machine learning techniques showed a strong relationship be-tween drivers' gaze to the information presented on the HMI, and decision-making time (DMT). These results contribute to our understanding of HMI design for automated vehicles, by demonstrating the attentional costs of an overly-informative HMI, and that drivers still rely on environmental information to perform a lane-change, even when the same information can be acquired by the HMI of the vehicle.","Vehicle automation; Gaze patterns; Transition of control; HMI design; Lane change; Eye-tracking; Decision-making time; visual-attention; eye-movements; behavior; model; loop; awareness; Engineering; Public, Environmental & Occupational Health; Social; Sciences - Other Topics; Transportation"
Modeling takeover behavior in level 3 automated driving via a structural equation model: Considering the mediating role of trust,"Jin, M.; Lu, G.; Chen, F.; Shi, X.; Tan, H.; Zhai, J.",Accident Analysis and Prevention,2021,157,,,10.1016/j.aap.2021.106156,"The takeover process in level 3 automated driving determines the controllability of the functions of automated vehicles and thereby traffic safety. In this study, we attempted to explain drivers’ takeover performance variation in a level 3 automated vehicle in consideration of the effects of trust, system characteristics, environmental characteristics, and driver characteristics with a structural equation model. The model was built by incorporating drivers’ takeover time and quality as endogenous variables. A theoretical framework of the model was hypothesized on the basis of the ACT-R cognitive architecture and relevant research results. The validity of the model was confirmed using data collected from 136 driving simulator samples under the condition of voluntary non-driving-related tasks. Results revealed that takeover time budget was the most critical factor in promoting the safety and stability of takeover process, which, together with traffic density, drivers’ age and manual driving experience, determined drivers’ takeover quality directly. In addition, the pre-existing experience with an automated system or a similar technology and self-confidence of the driver, as well as takeover time budget, strongly influenced the takeover time directly. Apart from the direct effects mentioned above, trust, as an intermediary variable, explained a major portion of the variance in takeover time. Theoretically, these findings suggest that takeover behavior could be comprehensively evaluated from the two dimensions of takeover time and quality through the combination of trust, driver characteristics, environmental characteristics, and vehicle characteristics. The influence mechanism of the above factors is complex and multidimensional. In addition to the form of direct influence, trust, as an intermediary variable, could reflect the internal mechanism of the takeover behavior variation. Practically, the findings emphasize the crucial role of trust in the change in takeover behavior through the dimensions of subjective trust level and monitoring strategy, which may provide new insights into the function design of takeover process. © 2021 Elsevier Ltd","Level 3 automation; Simulator experiment; Structural equation modeling; Takeover behavior variation; Trust; Accidents, Traffic; Automation; Automobile Driving; Humans; Man-Machine Systems; car driving; human; man machine interaction; prevention and control; traffic accident"
Impact of the connected vehicle environment on tunnel entrance zone,"Li, Z. L.; Xing, G. Y.; Zhao, X. H.; Li, H. J.",Accident Analysis and Prevention,2021,157,,14,10.1016/j.aap.2021.106145,"The drastic changes of the space environment at the tunnel entrance can lead to frequent accidents with higher levels. The connected vehicle environment provides drivers with surrounding traffic information and improve their driving behavior by helping them make safe decisions efficiently. As such, this study is to examine the effects of the connected vehicle environment on driving behavior and safety at the tunnel entrance zone. To this end, this research simulates a connected vehicle environment and provides driving aids through the HumanMachine Interface (HMI). Secondly, 40 participants with diverse backgrounds drove the simulator under two different driving conditions: HMI-OFF (traditional driving environment) and HMI-ON (connected vehicle environment). Finally, indicators are selected from speed control, stability and urgency to analyze the impact of the connected vehicle environment on drivers' behaviors and safety at the warning zone and tunnel entrance zone. The results show that in the connected vehicle environment, the drivers' speed control in the warning zone is improved and their deceleration behavior is advanced. The driver's speed control and stability are improved while the danger level of the accident is reduced 100 m ahead of the tunnel entrance. Besides, the driver's speed control and stability have been both improved 300 m after the tunnel entrance. Overall, in the connected vehicle environment, the driver can recognize the tunnel in advance and adjust his driving speed in time to ensure his safety at the tunnel entrance. The results of this study play a critical role in the design and research of warning systems in a connected vehicle environment, and will also guide vehicle manufacturers in designing safetyrelated functions of automated vehicles. In this research, a connected vehicle environment test platform based on driving simulation technology is constructed and tested in specific tunnel entrance scenarios, which provides a reference for realizing active protection of vehicles at the tunnel entrance.","Tunnel entrance zone; Connected vehicle environment; Safety; Driving; simulator; driving simulator; traffic accidents; assist system; driver; road; behavior; information; capture; times; Engineering; Public, Environmental & Occupational Health; Social; Sciences - Other Topics; Transportation"
A workload adaptive haptic shared control scheme for semi-autonomous driving,"Luo, R.; Weng, Y.; Wang, Y.; Jayakumar, P.; Brudnak, M. J.; Paul, V.; Desaraju, V. R.; Stein, J. L.; Ersal, T.; Yang, X. J.",Accident Analysis and Prevention,2021,152,,,10.1016/j.aap.2020.105968,"Haptic shared control is used to manage the control authority allocation between a human and an autonomous agent in semi-autonomous driving. Existing haptic shared control schemes, however, do not take full consideration of the human agent. To fill this research gap, this study presents a haptic shared control scheme that adapts to a human operator's workload, eyes on road and input torque in real time. We conducted human-in-the-loop experiments with 24 participants. In the experiment, a human operator and an autonomy module for navigation shared the control of a simulated notional High Mobility Multipurpose Wheeled Vehicle (HMMWV) at a fixed speed. At the same time, the human operator performed a target detection task. The autonomy could be either adaptive or non-adaptive to the above-mentioned human factors. Results indicate that the adaptive haptic control scheme resulted in significantly lower workload, higher trust in autonomy, better driving task performance and smaller control effort. © 2021 Elsevier Ltd","Accidents, Traffic; Adaptation, Physiological; Automobile Driving; Humans; Task Performance and Analysis; Workload; adaptation; car driving; human; task performance; traffic accident"
Design and evaluation of cooperative human-machine interface for changing lanes in conditional driving automation,"Muslim, H.; Leung, C. K.; Itoh, M.",Accident Analysis and Prevention,2022,174,,11,10.1016/j.aap.2022.106719,"This study analyzes the impact of cooperative human-machine interface designs on drivers' trust in and interaction with automated driving systems (ADSs) during lane changes on highways. While drivers' inappropriate trust in ADSs can affect their behavior toward the system, capability to detect inadequate system performance, and perception of surrounding traffic disturbances, their engagement in the automated process can improve their comprehension of the system and traffic conditions, which is necessary for the safe practice of automated driving. Forty drivers practiced conditional driving automation in a driving simulator and encountered traffic congestion on the main lane of a two-lane highway. Four ADS designs were proposed to bypass the congestion. ADS-1 detects the congestion and synchronizes the speed accordingly. ADS-2 requests the driver to resume manual control and overtake the congestion. ADS-3 requests the driver to push a button to let the system overtakes the congestion automatically. ADS-4 overtakes the congestion automatically after informing the driver, while the driver can cancel it by pushing a button within 6 s. In all these conditions, driver intervention was optional. Although the drivers preferred and trusted ADS-1 and ADS-2 more than ADS-3 and ADS-4, the results indicate significant improvements in the driving performance and system usage under ADS-3 and ADS-4. Driving with ADS-3 improved drivers' engagement and reduced the requirement for control transfer compared with other systems. However, the time headway between the subject and adjacent vehicles indicated that lane changes were more critical under ADS-3 and ADS-4 than ADS-1 and ADS-2. Such deficiency of alignment between driver perception and safe behaviors has implications for the design of future studies and systems that need to balance satisfaction and safety. These observations are likely to improve driver interaction with automated vehicles.","Automated vehicle; Human-machine interaction; Perception; Decision-making; Levels of automation; Lane change; adaptive cruise control; cognitive load; impact; workload; Engineering; Public, Environmental & Occupational Health; Social; Sciences - Other Topics; Transportation"
Towards common ethical and safe ‘behaviour’ standards for automated vehicles,"Papadimitriou, E.; Farah, H.; van de Kaa, G.; Santoni de Sio, F.; Hagenzieker, M.; van Gelder, P.",Accident Analysis and Prevention,2022,174,,,10.1016/j.aap.2022.106724,"Automated vehicles (AVs) aim to dramatically improve traffic safety by reducing or eliminating human error, which remains the leading cause of road crashes. However, commonly accepted standards for the ‘safe driving behaviour of machines’ are pending and urgently needed. Unless a common understanding of safety as a design value is achieved, different manufacturers’ driving styles may emerge, resulting in inconsistent, unpredictable and potentially unsafe ‘behaviour’ of AVs in certain situations. This paper aims to explore the main gaps and challenges towards establishing shared safety standards for the ‘behaviour’ of AVs, and contribute to their responsible traffic integration, by reviewing the state-of-the-art on AV safety in the core relevant disciplines: ethics of technology, safety science (engineering & human factors), and standardisation. The ethical and safety aspects investigated include the users’ perception of AV safety, the ethical trade-offs in critical decision-making contexts, the pertinence of data-driven approaches for AVs to mimic human behaviour, and the responsibilities of various actors. Moreover, the paper reviews the current safety patterns, metrics (surrogate measures of safety – SMoS) and their thresholds introduced in existing research for three use cases: mixed traffic of AV and conventional vehicles, AV interaction with pedestrians and cyclists, and transition of control from machine to human driver. The results reveal several knowledge gaps within each discipline and highlights the lack of common understanding of safety across disciplines. On the basis of the results, the paper proposes a framework for further research on AV safety, identifying concrete opportunities for interdisciplinary research, with common goals and methodologies, and explicitly indicating the path for transfer of knowledge between sectors. © 2022 The Author(s)","Automated vehicles; Ethics; Safety; Standardisation; Accidents, Traffic; Automobile Driving; Autonomous Vehicles; Humans; Pedestrians; Automation; Behavioral research; Economic and social effects; Ethical technology; Knowledge management; Standardization; Vehicles; Design value; Driving behaviour; Driving styles; Human errors; Road crash; Safe driving; Traffic safety; Unsafe behaviors; Vehicle safety; car driving; human; pedestrian; prevention and control; traffic accident; Decision making"
